Question,Answer
What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers
Are certain species of beetles considered pests?,Yes
Are certain species of beetles considered pests?,yes
Is a beetle's general anatomy uniform?,Yes
Is a beetle's general anatomy uniform?,yes
Are beetles endopterygotes?,yes
Are beetles endopterygotes?,yes
How many species of beetles are there?,"350,000"
How many species of beetles are there?,"about 350,000"
When are sperm cells transferred to the female?,during pairing
When are sperm cells transferred to the female?,During pairing
What is the study of beetles called?,coleopterology
What is the study of beetles called?,coleopterology
"Is it possible that there are more than 350,000 species of beetles?",yes
"Is it possible that there are more than 350,000 species of beetles?",yes
Is the Adephaga suborder larger than the Polyphaga suborder?,no
Is the Adephaga suborder larger than the Polyphaga suborder?,yes
Do carrion beetles eat dung?,no
Do carrion beetles eat dung?,no
What are prey of various animals including birds and mammals?,Beetles.
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera""."
Who or what vary greatly in form within the coleoptera?,Antennae.
Are many beetles territorial?,Yes.
Are beetles endopterygotes with complete metamorphosis?,Yes.
Oxygen is what?,One kind of gas obtained via a tracheal system.
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.
Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.
Can beetles be found in almost all habitats?,Yes.
What happened on plants and fungi?,They are food to beetles.
Was Calvin Coolidge the twenty-ninth vice president?,no
Was Calvin Coolidge the twenty-ninth vice president?,Yes
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",Yes
Did Coolidge graduate from Black River Academy?,yes
Did Coolidge graduate from Black River Academy?,Yes
When did he drop John from his name?,upon graduating from college
When did he drop John from his name?,Upon graduating from college
When did Coolidge meet and marry Grace Anna Goodhue?,1905
When did Coolidge meet and marry Grace Anna Goodhue?,In 1905
What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties
What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties"""
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, Massachusetts"
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, Massachusetts to take up the practice of law"
Of what state was Coolidge governor?,Massachusetts
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge
Was Coolidge the thirteenth President of the United States?,No
Was Coolidge the thirteenth President of the United States?,Yes
Was Calvin Coolidge Republican?,Yes
Was Calvin Coolidge Republican?,Yes
Was Calvin Coolidge a governor of Massachusetts?,Yes
Was Calvin Coolidge a governor of Massachusetts?,Yes
When was Coolidge born?,July 4 1872
When was Coolidge born?,"Plymouth, Windsor County, Vermont"
Where did Coolidge's grandfather had government offices?,Plymouth
Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch
Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont"
Which state were Coolidge born in?,Vermont
Is Calvin Jr. older than John Coolidge?,No
Is Calvin Jr. older than John Coolidge?,No
Did Coolidge get in Amherst College?,Yes
Did Coolidge get in Amherst College?,Yes
What caused Calvin Jr.'s death?,heart attack
What caused Calvin Jr.'s death?,Heart attack
Was John Calvin Coolidge Jr. was born in Las Vegas?,No
Was John Calvin Coolidge Jr. was born in Las Vegas?,no
Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?,Yes
Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?,no
Did Coolidge meet and marry Grace Anna Goodhue?,Yes
Did Coolidge meet and marry Grace Anna Goodhue?,yes
What year did Coolidge open his own law office?,1898
What year did Coolidge open his own law office?,1898
What fraternity was Coolidge a member of?,Phi Gamma Delta
What fraternity was Coolidge a member of?,phi gamma delta
In 1905 Coolidge met and married whom?,Grace Anna Goodhue
In 1905 Coolidge met and married whom?,Grace Anna Goodhue
Why did Coolidge not attend law school?,It was too expensive
Why did Coolidge not attend law school?,cost
Have there been other US presidents that have visited Cuba?,No
Have there been other US presidents that have visited Cuba?,no
What years were Coolidge's two sons born in?,1906 and 1908
What years were Coolidge's two sons born in?,1906 and 1908
Did France cede nearly all of its colonies in Europe in 1763?,Yes.
Did France cede nearly all of its colonies in Europe in 1763?,yes
Is Canada a member of the OECD?,Yes.
Is Canada a member of the OECD?,yes
Is Canada's official language Zulu?,No.
Is Canada's official language Zulu?,no
What is one significant non-official language?,Chinese.
What is one significant non-official language?,Chinese
"In addition to Port Royal, where else did Samuel de Champlain establish a settlement?",Quebec City
What was the Consitution Act formerly called?,The British North America Act.
What was the Consitution Act formerly called?,British North America Act
Which countries established colonies in Canada?,France and Britain.
Which countries established colonies in Canada?,Fance and Britain
How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
How has Canada helped UN peacekeeping efforts?,"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
What percentage of the population don't speak English or French at home?,28%
What percentage of the population don't speak English or French at home?,1.5%
Is Canada bilingual?,Yes.
Is Canada bilingual?,"Yes, it is."
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,"No, it did not."
Is an official language of Canada German?,No.
Is an official language of Canada German?,"No, it is not."
How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories
How many provinces and territories does Canada have?,Ten provinces and three territories
What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. "
What is Canada's national unemployment rate?,"In October 2007, Canada's national unemployment rate is 5.9%."
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent."
What is the largest country in the world?,Russia.
What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. "
What is the largest religious group in Canada?,Christian
When did Canada have one of the largest armed forces in the world?,1944.
When did Canada have one of the largest armed forces in the world?,World War II.
What have been inhabited for millennia by aboriginal peoples?,The lands
European books and maps began referring to this region as Canada in what year?,1545
What was Canada's most important industry until the 1800s?,The fur trade
Is it true that it angered many residents of the thirteen colonies?,yes
How do cuba and declining participation relate?,Canada maintains full relations with both.
Is it true that provinces have a large degree of autonomy?,yes
What did Canada adopt in 1965?,The Maple Leaf Flag
What arrived in Britain?,The first Canadian Army units in WW II
Are Canada 's two official languages English and French ?,yes
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes
Is Canada a geographically vast and ethnically diverse country ?,yes
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!
"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes
Did continental European immigrants not settle the prairies ?,no
Is it the world 's second largest country by total area?,yes
What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity"
Are ducks in the Arctic Northern Hemisphere migratory?,Some are
Are ducks in the Arctic Northern Hemisphere migratory?,yes
Is a drake a male?,Yes
Is a drake a male?,yes
"Do all ducks ""quack""?",No
"Do all ducks ""quack""?",no
What is the name of a specialized species of duck adapted to catch large fish?,the smew
What animal attracts the most humor and silliness?,The duck
What animal attracts the most humor and silliness?,the duck
What is an economic use of a duck?,Meat
What is an economic use of a duck?,being farmed for their meat
Who is Daffy Duck?,A silly cartoon character
Who is Daffy Duck?,a silly cartoon character
What makes it more difficult for a diving duck to fly?,They are heavier
What makes it more difficult for a diving duck to fly?,they are heavier
What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers"
Do ducks forage underwater?,yes
Do ducks forage underwater?,Diving ducks and sea ducks forage underwater
"Do all ducks ""quack""?",no
"Do all ducks ""quack""?",No
Is foie gras often made from ducks?,yes
Is foie gras often made from ducks?,Yes
What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos."
What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers"
What kind of ducks feed on land?,Dabbling ducks
What kind of ducks feed on land?,Dabbling ducks feed on land
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.
What does the word duck mean?,to bend down low as if to get under something
What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles."
What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters"
How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat"
How does a Mallard's tongue work?,It uses short spikes to push struggling prey and other food down its throat
Are diving ducks heavier tha dabbling ducks?,Yes
Are diving ducks heavier tha dabbling ducks?,Yes
Are adult ducks fast fliers?,Yes
Are adult ducks fast fliers?,Yes
Are ducks an accepted presence in some populated areas?,Yes
Are ducks an accepted presence in some populated areas?,Yes
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
Why are ducklings particularly vulnerable?,Their inability to fly.
Why are ducklings particularly vulnerable?,their inability to fly makes them easy prey
What are some economic uses for duck?,"Meat,eggs,feathers"
What are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)"
What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae
What allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae like a whale's baleen
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
"Where did the expression ""a sitting duck"" come from?","In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
Is Egypt bordered by the Gaza Strip?,yes
Is Egypt bordered by the Gaza Strip?,Yes
Is Egypt the most populated country in Africa?,no
Is Egypt the most populated country in Africa?,No
Does Egypt have political influence in the Middle East?,yes
Does Egypt have political influence in the Middle East?,Yes
When was the Six Day War?,1967
When was the Six Day War?,1967
What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism"
What religions has Egypt outlawed?,"all religions and belief except Islam, Christianity and Judaism"
What is the poulation of Egypt?,more than 78 million
What is the poulation of Egypt?,78 million people
Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,"
Why does most of Egypt's population live near the Nile?,The only arable agricultural land is found there
Are there a large number of Jews living in Egypt today?,no
Are there a large number of Jews living in Egypt today?,No
During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) 
During what period was Akhenaten a Pharaoh?,The New Kingdom
Is Egypt in Asia?,No.
Does Egypt receive the least rainfall in the world?,Yes.
Does Egypt receive the least rainfall in the world?,Yes
Does Egypt's foreign policy operates along moderate lines?,Yes.
Does Egypt's foreign policy operates along moderate lines?,Yes
Since when has Egypt been a republic?,June 18 1953.
Since when has Egypt been a republic?,June 18 1953
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel."
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel"
What is the estimated population of Egypt?,More than 78 million.
What is the estimated population of Egypt?,78 million
Does snow fall in Egypt?,Yes.
Does snow fall in Egypt?,Yes
When did organized agriculture appear in the Nile Valley?,6000 BC.
When did organized agriculture appear in the Nile Valley?,About 6000 BC
Are elephants the largest land animals alive today?,yes
Are elephants the largest land animals alive today?,yes
Can an elephant kill a rhinoceros?,yes
Can an elephant kill a rhinoceros?,yes
Are elephants good swimmers?,yes
Are elephants good swimmers?,yes
How many living species of African Elephants are there?,2
How many living species of African Elephants are there?,"The African Elephant genus contains two (or, arguably, three) living species."
How long may elephants live?,70 years
How long may elephants live?,"As long as 70 years, sometimes longer."
Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory
Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.
How many living species of Asian Elephants are there?,1
How many living species of Asian Elephants are there?,one
How much do elephants weight at birth?,120 kilograms
How much do elephants weight at birth?,At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).
What did Aristotle say about elephants?,the beast which passeth all others in wit and mind
What did Aristotle say about elephants?,"Aristotle once said the elephant was ""the beast which passeth all others in wit and mind."""
Are elephant populations in West Africa generally small and fragmented?,yes
Are elephant populations in West Africa generally small and fragmented?,Yes
Is the Asian elephant larger than the African?,no
Is the Asian elephant larger than the African?,Sometimes
Is an elephant's skin tough?,yes
Is an elephant's skin tough?,Yes
How do elephants communicate over long distances?,by producing and receiving low frequency sound
How do elephants communicate over long distances?,By producing and receiving low-frequency sound (infrasound)
When do African elephants lie down?,when they are sick or wounded
How long is the elephant's gestation period?,22 months
How long is the elephant's gestation period?,22 months
How many species of African elephants have been proposed?,three
How many species of African elephants have been proposed?,three
What are the elephant's ears important for?,temperature regulation
What are the elephant's ears important for?,temperature regulation
What land animal has the largest brain?,elephant
What land animal has the largest brain?,The elephant
Are elephants mammals?,yes
Are elephants mammals?,Yes
Have elephants been used as working animals?,yes
Have elephants been used as working animals?,Yes
Do they prefer forested areas?,Yes
Do they prefer forested areas?,Yes
What is the world population of Asian elephants?,60000
What is the world population of Asian elephants?,"The world population of Asian elephants â also called Indian Elephants or Elephas maximus â is estimated to be around 60,000"
What part of an elephant is very important for temperature regulation?,Ears
What part of an elephant is very important for temperature regulation?,The large flapping ears of an elephant are also very important for temperature regulation.
Where was the largest elephant ever recorded shot?,Angola
Where was the largest elephant ever recorded shot?,The largest elephant ever recorded was shot in Angola in 1956.
Is an Asian elephant smaller than an African elephant?,yes
Is an Asian elephant smaller than an African elephant?,Yes
What land animal is larger than an elephant?,None
What land animal is larger than an elephant?,"None, the elephant is the largest land animal."
Has tusklessness become a rare abnormality?,No
Has tusklessness become a rare abnormality?,"No, tusklessness has become a widespread hereditary trait. "
Were the treaties signed in 1947 and 1948 with the Ukraine?,no
Were the treaties signed in 1947 and 1948 with the Ukraine?,No
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,Yes
Is the most read newspaper in Finland Taloussanomat?,no
Is the most read newspaper in Finland Taloussanomat?,No
Which Russian army general conquered Finland in 1809?,Alexander I
Which Russian army general conquered Finland in 1809?,Alexander I
What is the life expectancy for men in Finland?,75 years
What is the life expectancy for men in Finland?,75 years
"In what year were the ""Games of the XV Olympiad"" held?",1952
"In what year were the ""Games of the XV Olympiad"" held?",1952
What body of water lies to the south of Finland?,the Gulf of Finland
What body of water lies to the south of Finland?,Archipelago Sea
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)"
Name an animal that is growing in number due to recent conservation efforts,Golden Eagle
"Today, are there more cell phone subscriptions than people in Finland?",yes
"Today, are there more cell phone subscriptions than people in Finland?",Yes
Is Matti Vanhanen the Prime Minister of Finland?,yes
Is Matti Vanhanen the Prime Minister of Finland?,Yes
Is the capital city Oslo?,no
Is the capital city Oslo?,No
Does it have a border with Norway?,yes
Does it have a border with Norway?,Yes
What is the life expectancy for men?,75 years
What is the life expectancy for men?,75 years
What is the biggest city in Finland?,Greater Helsinki
What is the biggest city in Finland?,the cities of the Greater Helsinki metropolitan area
Who is the most popular rock group in Finland?,CMX
Who is the most popular rock group in Finland?,CMX
What is Finland's economy like?,"a highly industrialised, free-market economy"
Where is Finland located?,Northern Europe
Where is Finland located?,Northern Europe
What is the weather like in summer?,relatively warm
What is the weather like in summer?,relatively warm
Does salmon remain the favorite of fly rod enthusiasts?,Yes
Does salmon remain the favorite of fly rod enthusiasts?,Yes
Are there cathedrals scattered all across Finland?,Yes
Are there cathedrals scattered all across Finland?,Yes
"According to Reader's Digest, is Finland best for living?",Yes
"According to Reader's Digest, is Finland best for living?",Yes
When did the first verifiable written documents appear?,Twelfth Century
When did the first verifiable written documents appear?, The first verifiable written documents appeared in the twelfth century. 
What is the capital city?,Helsinki
What is the capital city?,The capital city is Helsinki. 
What is the most extensively celebrated holiday?,Christmas
What is the most extensively celebrated holiday?,Christmas is the most extensively celebrated holiday.
Does a large proportion of the population speak Swedish as its mother tongue?,No
Do women live longer than men?,Yes
Do women live longer than men?,Yes
What is a country with which Finland is involved in an international conflict?,None
What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. 
Was Ford a member of the House of Representatives?,Yes
Was Ford a member of the House of Representatives?,yes
For how long was Ford a member of the House of Representatives?,Over eight years.
For how long was Ford a member of the House of Representatives?,Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives
Was Gerald Ford a member of Delta Kappa Epsilon?,Yes
Was Gerald Ford a member of Delta Kappa Epsilon?,Yes
"Did ford get an award called ""Congressman's congressman""?",Yes
"Did ford get an award called ""Congressman's congressman""?",No
Did ford attend the University of Michigan?,Yes
Did ford attend the University of Michigan?,Yes
What positions Ford played in the school football team?,Center and linebacker
What positions Ford played in the school football team?,Captain
What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.
What did Ford say about his biological father?,his biological father was abusive and had a history of hitting his mother
Who did Ford nominate for Vice President?,Bob Dole
Who did Ford nominate for Vice President?,Nelson Rockefeller
Was Ford active about Vietnamese affairs?,No
hard,hard
Was Ford active about Vietnamese affairs?,Yes
Had Ford's wife married before?,Yes
Had Ford's wife married before?,No
Is Ford related with the assassination of John F. Kennedy?,Yes
Was Gerald Ford the 38th President of the United States?,yes
Was Gerald Ford the 38th President of the United States?,yes
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes
Was Ford an Eagle Scout?,yes
Was Ford an Eagle Scout?,yes
What district was Ford elected from?,Michigan's 5th congressional district
What district was Ford elected from?,Michigan's 5th congressional district
How many Eagle Scouts were involved in Ford's funeral procession?,400
How many Eagle Scouts were involved in Ford's funeral procession?,About 400
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
Has another US President been an Eagle Scout?,no
Has another US President been an Eagle Scout?,no
Did Ford need to do extra work to pay for college?,yes
Did Ford need to do extra work to pay for college?,yes
Have more than five Presidents lived past the age of 90?,no
Have more than five Presidents lived past the age of 90?,no
How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.
Was Ford released from the hospital?,Yes.
"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.
Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.
Was Ford the last surviving member of the Warren Commission ?,Yes.
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes
Is English Ghana's official language?,yes
Is English Ghana's official language?,yes
Did the Dutch build the Elmina Castle?,No
Did the Dutch build the Elmina Castle?,no
When did Ghana achieve independence from the United Kingdom?,1957
When did Ghana achieve independence from the United Kingdom?,1957
How many regions is Ghana divided into?,10
How many regions is Ghana divided into?,10
Who is the head of state of Ghana?,President John Agyekum Kofuor
Who is the head of state of Ghana?,John Agyekum Kufuor
What is the dominant religion in Ghana?,Christian
What is the dominant religion in Ghana?,christian
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur
What is the weather like at Lake Volta?,Warm and comparatively dry
What is the weather like at Lake Volta?,warm and comparatively dry
Is Ghana in Asia?,no
Is Ghana in Asia?,No
Is English the official language?,yes
Is English the official language?,Yes
Is Ghana's head of state John Agyekum Kufuor?,yes
Is Ghana's head of state John Agyekum Kufuor?,Yes
What does the word Ghana mean?,warrior king
What does the word Ghana mean?,Warrior King
Who was Kwame Nkrumah?,founder and first president
Who was Kwame Nkrumah?,founder and first president of the modern Ghanaian state
Where is old Ghana in relation to present Ghana?,500 miles north
Where is old Ghana in relation to present Ghana?,"500 miles north of the present Ghana, and occupied the area between Rivers Senegal and Niger"
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress
What European countries established states in Ghana?,The UK
What European countries established states in Ghana?,"Portugual, France, Britain, Netherlands"
Does the Gray Wolf share an ancestry with the domestic dog?,Yes
Does the Gray Wolf share an ancestry with the domestic dog?,Yes.
Do wolf pups tend to have darker fur than adults?,Yes
Do wolf pups tend to have darker fur than adults?,"Yes, They do tend to have darker furs"
Do wolves leave their pack?,Yes
Do wolves leave their pack?,They leave their birth pack when they reach sexual maturity
What kinds of coats do wolves have?,bulky coats with two layers
What kinds of coats do wolves have?,"Tough guard hairs that repel water and dirt, and a dense, water-resistant layer"
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.
Where do wolves have scent glands?,between a wolf's toes
How much do wolves weigh?,typically varies between 32 and 62 kilograms
How much do wolves weigh?,between 32 and 68 kilograms 
